"astro-ph/0410281","Max Tegmark","Max Tegmark","What does inflation really predict?","Replaced to match accepted JCAP version. Improved discussion,
  references. 42 pages, 17 figs","JCAP 0504:001,2005","10.1088/1475-7516/2005/04/001",,"astro-ph gr-qc hep-th",,"  If the inflaton potential has multiple minima, as may be expected in, e.g.,
the string theory ""landscape"", inflation predicts a probability distribution
for the cosmological parameters describing spatial curvature (Omega_tot), dark
energy (rho_Lambda, w, etc.), the primordial density fluctuations (Omega_tot,
dark energy (rho_Lambda, w, etc.). We compute this multivariate probability
distribution for various classes of single-field slow-roll models, exploring
its dependence on the characteristic inflationary energy scales, the shape of
the potential V and and the choice of measure underlying the calculation. We
find that unless the characteristic scale Delta-phi on which V varies happens
to be near the Planck scale, the only aspect of V that matters observationally
is the statistical distribution of its peaks and troughs. For all energy scales
and plausible measures considered, we obtain the predictions Omega_tot ~
1+-0.00001, w=-1 and rho_Lambda in the observed ballpark but uncomfortably
high. The high energy limit predicts n_s ~ 0.96, dn_s/dlnk ~ -0.0006, r ~ 0.15
and n_t ~ -0.02, consistent with observational data and indistinguishable from
eternal phi^2-inflation. The low-energy limit predicts 5 parameters but prefers
larger Q and redder n_s than observed. We discuss the coolness problem, the
smoothness problem and the pothole paradox, which severely limit the viable
class of models and measures. Our findings bode well for detecting an
inflationary gravitational wave signature with future CMB polarization
experiments, with the arguably best-motivated single-field models favoring the
detectable level r ~ 0.03. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:41:44 GMT""},{""version"":""v2"",""created"":""Fri, 11 Mar 2005 21:00:28 GMT""}]","2009-10-07"
"math/0410321","Jack Button","J. O. Button","Fibred and Virtually Fibred hyperbolic 3-manifolds in the censuses","50 pages, including 2 figures and 14 pages of tables",,,,"math.GT",,"  Following on from work of Dunfield, we determine the fibred status of all the
unknown hyperbolic 3-manifolds in the cusped census. We then find all the
fibred hyperbolic 3-manifolds in the closed census and use this to find over
100 examples each of closed and cusped virtually fibred non-fibred census
3-manifolds, including the Weeks manifold. We also show that the co-rank of the
fundamental group of every 3-manifold in the cusped and in the closed census is
0 or 1.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:51:23 GMT""},{""version"":""v2"",""created"":""Thu, 14 Oct 2004 19:07:02 GMT""}]","2007-05-23"
"math/0410322","Gaetano Fiore","Gaetano Fiore","New approach to Hermitian q-differential operators on R_q^N","Latex file, 11 pages","Noncommutative Geometry and Representation Theory in Mathematical
  Physics, Contemporary Mathematics 391 (2005), 75-83",,"Preprint 04-45 Dip. Matematica e Applicazioni, Universit\`a di
  Napoli; DSF/04-35 ; ESI 1529","math.QA hep-th math-ph math.DG math.MP",,"  We report on our recent breakthrough in the costructionfor q>0 of Hermitean
and ""tractable"" differential operators out of the U_qso(N)-covariant
differential calculus on the noncommutative manifolds R_q^N (the socalled
""quantum Euclidean spaces"").
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:38:41 GMT""}]","2012-09-28"
"nlin/0410017","Patrick N. McGraw","Patrick N. McGraw and Michael Menzinger","Pattern Formation by Boundary Forcing in Convectively Unstable,
  Oscillatory Media With and Without Differential Transport","Revised version with added content (new section and figures added),
  changes to wording and organization",,"10.1103/PhysRevE.72.026210",,"nlin.PS",,"  Motivated by recent experiments and models of biological segmentation, we
analyze the exicitation of pattern-forming instabilities of convectively
unstable reaction-diffusion-advection (RDA) systems, occuring by means of
constant or periodic forcing at the upstream boundary. Such boundary-controlled
pattern selection is a generalization of the flow-distributed oscillation (FDO)
mechanism that can include Turing or differential flow instability (DIFI)
modes. Our goal is to clarify the relationships among these mechanisms in the
general case where there is differential flow as well as differential
diffusion. We do so by analyzing the dispersion relation for linear
perturbations and showing how its solutions are affected by differential
transport. We find a close relationship between DIFI and FDO, while the Turing
mechanism gives rise to a distinct set of unstable modes. Finally, we
illustrate the relevance of the dispersion relations using nonlinear
simulations and we discuss the experimental implications of our results.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:27:43 GMT""},{""version"":""v2"",""created"":""Wed, 15 Dec 2004 21:13:38 GMT""}]","2009-11-10"
"nucl-ex/0410017","Irena Skwirczynska","V. A. Karnaukhov, H. Oeschler, S. P. Avdeyev, V. K. Rodionov, V. V.
  Kirakosyan, A. V. Simonenko, P. A. Rukoyatkin, A. Budzanowski, W. Karcz, I.
  Skwirczynska, E. A. Kuzmin, L. V. Chulkov, E. Norbeck, A. S. Botvina","Spinodal decomposition, nuclear fog and two characteristic volumes in
  thermal multifragmentation","8 pages, 6 figures, to be published in Nucl.Phys.A","Nucl.Phys. A749 (2005) 65-72","10.1016/j.nuclphysa.2004.12.009",,"nucl-ex",,"  Thermal multifragmentation of hot nuclei is interpreted as the nuclear
liquid-fog phase transition inside the spinodal region. The experimental data
for p(8.1GeV) + Au collisions are analyzed within the framework of the
statistical multifragmentation model (SMM) for the events with emission of at
least two IMFs. It is found that the partition of hot nuclei is specified after
expansion to a volume equal to Vt = (2.6+-0.3) Vo, with Vo as the volume at
normal density. However, the freeze-out volume is found to be twice as large:
Vf = (5+-1) Vo.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 13:19:26 GMT""}]","2009-11-10"
"nucl-th/0410051","Charlotte Elster","H. Liu, Ch. Elster, W. Gloeckle","Three-Body Scattering at Intermediate Energies","19 pages, 13 figures","Phys.Rev. C72 (2005) 054003","10.1103/PhysRevC.72.054003",,"nucl-th",,"  The Faddeev equation for three-body scattering at arbitrary energies is
formulated in momentum space and directly solved in terms of momentum vectors
without employing a partial wave decomposition. In its simplest form the
Faddeev equation for identical bosons, which we are using, is a
three-dimensional integral equation in five variables, magnitudes of relative
momenta and angles. This equation is solved through Pade summation. Based on a
Malfliet-Tjon-type potential, the numerical feasibility and stability of the
algorithm for solving the Faddeev equation is demonstrated. Special attention
is given to the selection of independent variables and the treatment of
three-body break-up singularities with a spline based method. The elastic
differential cross section, semi-exclusive d(N,N') cross sections and total
cross sections of both elastic and breakup processes in the intermediate energy
range up to about 1 GeV are calculated and the convergence of the multiple
scattering series is investigated in every case. In general a truncation in the
first or second order in the two-body t-matrix is quite insufficient.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 16:09:49 GMT""},{""version"":""v2"",""created"":""Thu, 25 Aug 2005 15:22:19 GMT""}]","2009-11-10"
"nucl-th/0410052","Petr Navratil","Petr Navratil (Lawrence Livermore National Laboratory)","Cluster form factor calculation in the ab initio no-core shell model","28 pages, 16 figures","Phys.Rev. C70 (2004) 054324","10.1103/PhysRevC.70.054324","UCRL-JRNL-205655","nucl-th",,"  We derive expressions for cluster overlap integrals or channel cluster form
factors for ab initio no-core shell model (NCSM) wave functions. These are used
to obtain the spectroscopic factors and can serve as a starting point for the
description of low-energy nuclear reactions. We consider the composite system
and the target nucleus to be described in the Slater determinant (SD) harmonic
oscillator (HO) basis while the projectile eigenstate to be expanded in the
Jacobi coordinate HO basis. This is the most practical case. The spurious
center of mass components present in the SD bases are removed exactly. The
calculated cluster overlap integrals are translationally invariant. As an
illustration, we present results of cluster form factor calculations for
<5He|4He+n>, <5He|3H+d>, <6Li|4He+d>, <6Be|3He+3He>, <7Li|4He+3H>, <7Li|6Li+n>,
<8Be|6Li+d>, <8Be|7Li+p>, <9Li|8Li+n> and <13C|12C+n>, with all the nuclei
described by multi-hbar Omega NCSM wave functions.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:01:14 GMT""}]","2009-11-10"
"nucl-th/0410053","Alexander Volya","Alexander Volya and Cary Davids","Nuclear pairing and Coriolis effects in proton emitters","2 pages, 1 figure","Eur.Phys.J. A25 (2005) 161-163","10.1140/epjad/i2005-06-090-4",,"nucl-th",,"  We introduce a Hartree-Fock-Bogoliubov mean-field approach to treat the
problem of proton emission from a deformed nucleus. By substituting a rigid
rotor in a particle-rotor-model with a mean-field we obtain a better
description of experimental data in $^{141}$Ho. The approach also elucidates
the softening of kinematic coupling between particle and collective rotation,
the Coriolis attenuation problem.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 21:18:18 GMT""}]","2015-06-26"
"nucl-th/0410054","Hitoshi Nakada","K. Tanabe (Saitama U.) and H. Nakada (Chiba U.)","Quantum number projection at finite temperature via thermofield dynamics","27 pages, using revtex4, to be published in PRC","Phys.Rev. C71 (2005) 024314","10.1103/PhysRevC.71.024314",,"nucl-th quant-ph",,"  Applying the thermo field dynamics, we reformulate exact quantum number
projection in the finite-temperature Hartree-Fock-Bogoliubov theory. Explicit
formulae are derived for the simultaneous projection of particle number and
angular momentum, in parallel to the zero-temperature case. We also propose a
practical method for the variation-after-projection calculation, by
approximating entropy without conflict with the Peierls inequality. The quantum
number projection in the finite-temperature mean-field theory will be useful to
study effects of quantum fluctuations associated with the conservation laws on
thermal properties of nuclei.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 08:30:52 GMT""},{""version"":""v2"",""created"":""Wed, 12 Jan 2005 00:24:21 GMT""}]","2009-11-10"
"nucl-th/0410055","Dominique Jarroux-Declais","C. Bonilla (SUBATECH), G. Royer (SUBATECH)","On the double and triple-humped fission barriers and half-lives of
  actinide elements",,"AIP Conf.Proc.798:361-364,2005","10.1063/1.2137269",,"nucl-th",,"  The deformation barriers standing in the quasi-molecular shape path have been
determined in the actinide region within a macroscopic-microscopic energy
derived from a generalized liquid drop model, the algebraic droplet model shell
corrections and analytic expressions for the pairing energies. Double and
triple-humped fission barriers appear. The second barrier corresponds to the
transition from one-body shapes to two touching ellipsoids. The third minimum
and third peak, when they exist, come from shell rearrangements in the deformed
fragment. The shape of the other almost magic one is close to the sphere. The
barrier heights agreewith the experimental results, the energy of the second
minimum being a little too high. The predicted half-lives follow the
experimental data trend.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 08:59:25 GMT""}]","2010-12-13"
"nucl-th/0410056","Manuel J. Vicente Vacas","M. J. Vicente Vacas, D. Cabrera, Q. B. Li, V. K. Magas and E. Oset","Interaction of the $\Theta^+$ with the nuclear medium","8 pages, 6 figurs, talk presented at the International Workshop
  PENTAQUARK04 July 20-23, 2004, SPring-8, Japan",,,,"nucl-th",,"  We study the selfenergy of the $\Theta^+$ pentaquark in nuclei associated
with two types of interaction: the KN decay of the $\Theta^+$ and two meson
baryon decay channels of the $\Theta^+$. Whereas the potential related to the
first source is quite weak, the second kind of interaction produces a large and
attractive potential that could lead to the existence of $\Theta^+$ nuclear
bound states.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 10:32:34 GMT""}]","2007-05-23"
"nucl-th/0410057","Sergio Scopetta","Sergio Scopetta","Nuclear effects on generalized parton distributions of 3He","3 pages, 2 figures, talk given at the 19th European Conference on
  Few-Body Problems in Physics, Groningen, The Netherlands, 23-27 August 2004;
  to appear in AIP conference proceedings",,"10.1063/1.1932928",,"nucl-th hep-ph",,"  The relevance of measuring Generalized Parton Distributions (GPDs) of nuclei
is stressed and the unique possibilities offered by nuclear few body systems is
emphasized. A realistic microscopic calculation of the unpolarized quark GPD
Hq3 of the 3He nucleus is reviewed. Nuclear effects are found to be larger than
in inclusive deep inelastic scattering, flavor dependent, increasing with the
momentum transfer and the asymmetry of the process. They also depend on the
choice of the realistic potential. Besides, it is found that nuclear GPDs
cannot be factorized into a Delta^2-dependent and a Delta^2-independent term,
as suggested in prescription proposed for finite nuclei.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:42:32 GMT""}]","2009-11-10"
"nucl-th/0410058","Antonio Sarsa","E Buendia, F J Galvez, J Praena and A Sarsa","Model wave functions and dynamic correlations in light-medium nuclei","22 pages, 8 figures",,,,"nucl-th",,"  The nuclei $^4$He, $^8$Be, $^{12}$C and $^{16}$O have been studied starting
from nucleon-nucleon interactions of $v_4$ type. The wave function is built as
the product of three terms, a Jastrow correlation factor, a linear correlation
factor and a model wave function. The correlation factors account for both the
short range repulsive and the spin and isospin dependence of the nuclear
potential. The model wave function is antisymmetric and has the values of the
angular momentum and parity of the state under description. For the model wave
function we have used two different schemes. The first one is based on a
Harmonic Oscillator shell model with and without deformation, and the second
one is based on the Margenau-Brink model of alpha clustering. Projection
operators of parity and total angular momentum are used. The performance of
these two models is studied and compared systematically. Wave functions for the
ground state and some members of its rotational band and some other bound
states of these nuclei have been obtained. Binding energies, root mean square
radius and the expectation value of the kinetic energy and the different
channels of the nuclear interactions and the one-- and two-- body densities are
reported. The two different model wave functions and the effects of the
different nucleon-nucleon correlations have been evaluated on those quantities.
All the results here presented have been obtained by using the Variational
Monte Carlo method.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:30:49 GMT""}]","2007-05-23"
"nucl-th/0410059","Wanda Maria Alberico","W.M.Alberico and G.Garbarino","Weak Decay of Hypernuclei","59 pages, 13 figures Lectures given at the International School of
  Physics ""Enrico Fermi"" Course on: HADRON PHYSICS, Varenna (Lake Como), June
  22nd - July 2nd, 2004",,,"To-25-06-04","nucl-th",,"  The focus of these Lectures is on the weak decay modes of hypernuclei, with
special attention to Lambda-hypernuclei. The subject involves many fields of
modern theoretical and experimental physics, from nuclear structure to the
fundamental constituents of matter and their interactions. The various weak
decay modes of Lambda-hypernuclei are described: the mesonic mode and the
non-mesonic ones. The latter are the dominant decay channels of medium--heavy
hypernuclei, where, on the contrary, the mesonic decay is disfavoured by Pauli
blocking effect on the outgoing nucleon. In particular, one can distinguish
between one-body and two-body induced decays. Theoretical models employed to
evaluate the (partial and total) decay widths of hypernuclei are illustrated,
and their results compared with existing experimental data. Open problems and
recent achievements are extensively discussed, in particular the determination
of the ratio Gamma_n/Gamma_p, possible tests of the Delta I=1/2 rule in
non-mesonic decays and the puzzling asymmetric non-mesonic decay of polarized
hypernuclei.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:39:51 GMT""}]","2007-05-23"
"physics/0410077","Xiupu Zhang","Xiupu Zhang, Guodong Zhang","Quantum Limited DPSK Receivers with Optical Mach-Zehnder Interferometer
  Demodulation","5 pages",,,,"physics.optics",,"  We present an analysis of quantum-limited DPSK receivers with optical
Mach-Zehnder interferometer (MZI) demodulation. It is shown for the first time
that the quantum limits for DPSK/MZI receivers with single-port and balanced
detections exactly differ from 3-dB in receiver sensitivity, obtained by both
Poisson and Gaussian noise statistics.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 16:02:30 GMT""}]","2007-05-23"
"physics/0410078","Thomas Bartsch","T. Bartsch and T. Uzer","Semiclassical ionization dynamics of the hydrogen molecular ion in an
  electric field of arbitrary orientation",,"J. Phys. B 38, S241 (2005)","10.1088/0953-4075/38/2/018",,"physics.atom-ph",,"  Quasi-static models of barrier suppression have played a major role in our
understanding of the ionization of atoms and molecules in strong laser fields.
Despite their success, in the case of diatomic molecules these studies have so
far been restricted to fields aligned with the molecular axis. In this paper we
investigate the locations and heights of the potential barriers in the hydrogen
molecular ion in an electric field of arbitrary orientation. We find that the
barriers undergo bifurcations as the external field strength and direction are
varied. This phenomenon represents an unexpected level of intricacy even on
this most elementary level of the dynamics. We describe the dynamics of
tunnelling ionization through the barriers semiclassically and use our results
to shed new light on the success of a recent theory of molecular tunnelling
ionization as well as earlier theories that restrict the electric field to be
aligned with the molecular axis.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 18:11:24 GMT""}]","2009-11-10"
"physics/0410079","Walter R. Johnson","U. I. Safronova, M. S. Safronova, and W. R. Johnson","Excitation energies, hyperfine constants, E1, E2, M1 transition rates,
  and lifetimes of (6s2)nl states in Tl I and Pb II","twelve tables, no figures",,"10.1103/PhysRevA.71.052506",,"physics.atom-ph",,"  Energies of np (n=6-9), ns (n=7-9), nd (n=6-8), and nf (n=5-6) states in Tl I
and Pb II are obtained using relativistic many-body perturbation theory.
Reduced matrix elements, oscillator strengths, transition rates, and lifetimes
are determined for the 72 possible electric-dipole transitions.
Electric-quadrupole and magnetic-dipole matrix elements are evaluated to obtain
np(3/2) - mp(1/2) (n,m=6,7) transition rates. Hyperfine constants A are
evaluated for a number of states in 205Tl. First-, second-, third-, and
all-order corrections to the energies and matrix elements and first- and
second-order Breit corrections to energies are calculated. In our
implementation of the all-order method, single and double excitations of
Dirac-Fock wave functions are included to all orders in perturbation theory.
These calculations provide a theoretical benchmark for comparison with
experiment and theory.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:33:47 GMT""}]","2009-11-10"
"physics/0410080","Nikolay Yershov V.","N. Yershov, M. Khabibullin, Yu. Kudenko, L. Littenberg, V. Mayatski,
  O. Mineev","Long sandwich modules for photon veto detectors","14 pages, 13 figures, 1 table","Nucl.Instrum.Meth. A543 (2005) 454-462","10.1016/j.nima.2004.11.051",,"physics.ins-det",,"  Long lead-scintillator sandwich modules developed for the BNL experiment
KOPIO are described. The individual 4 m long module consists of 15 layers of 7
mm thick extruded scintillator and 15 layers of 1 mm lead absorber. Readout is
implemented via WLS fibers glued into grooves in a scintillator with 7 mm
spacing and viewed from both ends by the phototubes. Time resolution of 300 ps
for cosmic MIPs was obtained. Light output stability monitored for 2 years
shows no degradation beyond the measurement errors. A 4 m long C-bent sandwich
module was also manufactured and tested.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 08:30:45 GMT""}]","2009-11-10"
"physics/0410081","Evgeniy Gusakov","A.B. Altukhov, A.D. Gurchenko, E.Z. Gusakov, L.A. Esipov, S.I.
  Lashkul, A.Yu. Stepanov","Enhanced Doppler Effect in the Upper Hybrid Resonance Microwave
  Backscattering Experiment",,,,,"physics.plasm-ph",,"  Observations of enhanced Doppler frequency shift effect of the highly
localized microwave backscattering in the upper hybrid resonance are reported.
The experiment is performed at FT-2 tokamak, where a steerable focusing antenna
set, allowing off equatorial plane plasma extraordinary wave probing from high
magnetic field side, was installed. A separate line less than 1.5 MHz wide and
shifted by up to 2 MHz is routinely observed in the backscattering spectrum
under condition of accessible upper hybrid resonance. The enhanced frequency
shift is explained by the growth of poloidal wave number of the probing wave in
the resonance. The new scheme for local diagnostics of fluctuations poloidal
rotation based on this effect is proposed.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 08:03:33 GMT""}]","2007-05-23"
"physics/0410082","Alessandra Retico","U. Bottigli, P.G. Cerello, P. Delogu, M.E. Fantacci, F. Fauci, G.
  Forni, B. Golosio, A. Lauria, E. Lopez, R. Magro, G.L. Masala, P. Oliva, R.
  Palmiero, G. Raso, A. Retico, S. Stumbo, S. Tangaro","CADe tools for early detection of breast cancer","4 pages, Proceedings of the 4th International Symposium on Nuclear
  and Related Techniques 2003, Vol. unico, pp. d10/1-d10/4 Havana, Cuba",,,,"physics.med-ph",,"  A breast neoplasia is often marked by the presence of microcalcifications and
massive lesions in the mammogram: hence the need for tools able to recognize
such lesions at an early stage. Our collaboration, among italian physicists and
radiologists, has built a large distributed database of digitized mammographic
images and has developed a Computer Aided Detection (CADe) system for the
automatic analysis of mammographic images and installed it in some Italian
hospitals by a GRID connection. Regarding microcalcifications, in our CADe
digital mammogram is divided into wide windows which are processed by a
convolution filter; after a self-organizing map analyzes each window and
produces 8 principal components which are used as input of a neural network
(FFNN) able to classify the windows matched to a threshold. Regarding massive
lesions we select all important maximum intensity position and define the ROI
radius. From each ROI found we extract the parameters which are used as input
in a FFNN to distinguish between pathological and non-pathological ROI. We
present here a test of our CADe system, used as a second reader and a
comparison with another (commercial) CADe system.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 09:23:46 GMT""}]","2007-05-23"
"physics/0410083","Ilija Stefanovic","Ilija Stefanovic, Eva Kovacevic, Johannes Berndt, Yvonne Pendleton,
  Jorg Winter","Nanoparticles designed from low pressure plasma as model for
  astrophysical dust clouds","12th International Congress on Plasma Physics, 25-29 October 2004,
  Nice (France)",,,,"physics.plasm-ph",,"  IR spectra gained from laboratory investigations on analogue materials are an
important tool for the interpretation of astronomical IR data and the
understanding of the observed phenomena in DISM. Dust particles grown in
argon/acetylene low pressure plasma are proposed for a new analog. We test the
validity of proposed analog according to the criteria from the literature. We
also present preliminary results of nitrogen band at 4.62 \$mu$m, which has
been identified in dense cold dust.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 09:42:20 GMT""}]","2007-05-23"
"physics/0410084","Alessandra Retico","U. Bottigli, P. Cerello, S. Cheran, P. Delogu, M.E. Fantacci, F.
  Fauci, B. Golosio, A. Lauria, E. Lopez Torres, R. Magro, G.L. Masala, P.
  Oliva, R. Palmiero, G. Raso, A. Retico, S. Stumbo, S. Tangaro","GPCALMA: A Tool For Mammography With A GRID-Connected Distributed
  Database","6 pages, Proceedings of the Seventh Mexican Symposium on Medical
  Physics 2003, Vol. 682/1, pp. 67-72, Mexico City, Mexico",,"10.1063/1.1615100",,"physics.med-ph",,"  The GPCALMA (Grid Platform for Computer Assisted Library for MAmmography)
collaboration involves several departments of physics, INFN sections, and
italian hospitals. The aim of this collaboration is developing a tool that can
help radiologists in early detection of breast cancer. GPCALMA has built a
large distributed database of digitised mammographic images (about 5500 images
corresponding to 1650 patients) and developed a CAD (Computer Aided Detection)
software which is integrated in a station that can also be used for acquire new
images, as archive and to perform statistical analysis. The images are
completely described: pathological ones have a consistent characterization with
radiologist's diagnosis and histological data, non pathological ones correspond
to patients with a follow up at least three years. The distributed database is
realized throught the connection of all the hospitals and research centers in
GRID tecnology. In each hospital local patients digital images are stored in
the local database. Using GRID connection, GPCALMA will allow each node to work
on distributed database data as well as local database data. Using its database
the GPCALMA tools perform several analysis. A texture analysis, i.e. an
automated classification on adipose, dense or glandular texture, can be
provided by the system. GPCALMA software also allows classification of
pathological features, in particular massive lesions analysis and
microcalcification clusters analysis. The performance of the GPCALMA system
will be presented in terms of the ROC (Receiver Operating Characteristic)
curves. The results of GPCALMA system as ""second reader"" will also be
presented.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 09:54:44 GMT""}]","2015-06-26"
"physics/0410085","Alessandra Retico","S. Bagnasco, U. Bottigli, P. Cerello, S.C. Cheran, P. Delogu, M.E.
  Fantacci, F. Fauci, G. Forni, A. Lauria, E. Lopez Torres, R. Magro, G. L.
  Masala, P. Oliva, R. Palmiero, L. Ramello, G. Raso, A. Retico, M. Sitta, S.
  Stumbo, S. Tangaro, E. Zanon","GPCALMA: a Grid-based tool for Mammographic Screening","9 pages, 4 figures; Proceedings of the HealthGrid Workshop 2004,
  January 29-30, Clermont-Ferrand, France","Methods Inf. Med. 44(2) 244-8 (2005)",,,"physics.med-ph",,"  The next generation of High Energy Physics (HEP) experiments requires a GRID
approach to a distributed computing system and the associated data management:
the key concept is the Virtual Organisation (VO), a group of distributed users
with a common goal and the will to share their resources. A similar approach is
being applied to a group of Hospitals which joined the GPCALMA project (Grid
Platform for Computer Assisted Library for MAmmography), which will allow
common screening programs for early diagnosis of breast and, in the future,
lung cancer. HEP techniques come into play in writing the application code,
which makes use of neural networks for the image analysis and proved to be
useful in improving the radiologists' performances in the diagnosis. GRID
technologies allow remote image analysis and interactive online diagnosis, with
a potential for a relevant reduction of the delays presently associated to
screening programs. A prototype of the system, based on AliEn GRID Services, is
already available, with a central Server running common services and several
clients connecting to it. Mammograms can be acquired in any location; the
related information required to select and access them at any time is stored in
a common service called Data Catalogue, which can be queried by any client. The
result of a query can be used as input for analysis algorithms, which are
executed on nodes that are in general remote to the user (but always local to
the input images) thanks to the PROOF facility. The selected approach avoids
data transfers for all the images with a negative diagnosis (about 95% of the
sample) and allows an almost real time diagnosis for the 5% of images with high
cancer probability.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 10:51:06 GMT""}]","2007-05-23"
"physics/0410087","Lidia Luizova","Anatoly Khakhaev, Lidia Luizova, Konstantin Ekimov, Alexey Soloviev","Spatial and time-dependent distribution of plasma parameters in the
  metal-halide arc lamp","12th International Congress on Plasma Physics, 25-29 October 2004,
  Nice (France)",,,,"physics.plasm-ph",,"  It was shown by several authors that closed high pressure arc a.c. discharge
in mercury vapors with addition of metal halide cannot be described in frames
of the local thermodynamic equilibrium (LTE) model. However some plasma
parameters (electron and high lying excited states densities as well as Hg
metastable levels densities) are assumed to be in equilibrium with electron
temperature and these assumptions are applied in plasma diagnostics. To verify
these supposition the method of local plasma spectroscopy based on spatial and
temporal distribution of spectral line profiles was developed. The experimental
set up is based on diffraction spectrometer with large aperture, spatial
scanning device and photodetector, which allows to carry out the measurements
in chosen phases of current period. The software for data acquisition and
processing is based on LabVIEW system. The original method of joint data
processing was applied to data arrays containing spatial, spectral and temporal
distribution of a source surface radiance. The method is based on principal
component theory, it takes into account the correlation between spectral
emissivities inside spectral line profiles and allows ...
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:55:28 GMT""}]","2007-05-23"
"physics/0410088","Sergei Lashkul","Sergei Lashkul, Sergei Shatalin, Alexei Altukhov, Alexei Gurchenko,
  Evgenii Gusakov, Valerii Dyachenko, Lev Esipov, Mihail Kantor, Denis
  Kouprienko, Alexsandr Stepanov, Andrei Sharpeonok, Elena Vekshina","Poloidal inhomogeneity of the particle fluctuation induced fluxes near
  of the LCFS at lower hybrid heating and improved confinement transition at
  the FT-2 tokamak","12th International Congress on Plasma Physics, 25-29 October 2004,
  Nice (France)",,"10.1007/s10582-005-0045-7",,"physics.plasm-ph",,"  This paper deals with the new spectral and microturbulence experimental data
and their analysis, which show, that the radial electric field Er generated at
the LH heating (LHH) in the FT-2 is high enough to form the transport barriers.
The ETB is formed when LHH is switched off. The radial fluctuation-induced
E&#61620;B drift flux densities near LCFS in SOL are measured at two different
poloidal angles. For this purpose two Langmuir probes located at low and high
field sides of the torus are used. Registration of the poloidal and radial
components of the electric field and density fluctuations at the same time
during one discharge permits to measure the poloidal asymmetry of the transport
reduction mechanism of the radial and poloidal particle fluxes in the SOL. The
absolute E(~)&#61553; fluctuation levels show dependence on the sign of Er
shear. The modification of the microscale turbulence by the poloidal Er x B
rotation shear &#61559;E&#61620;B at the L - H transition near LCFS is also
studied by X-mode fluctuation Reflectometry. The new data were obtained by
spatial spectroscopic technique.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:53:32 GMT""},{""version"":""v2"",""created"":""Tue, 19 Oct 2004 14:14:30 GMT""}]","2009-11-10"
"q-bio/0410013","Joshua Plotkin","Joshua B. Plotkin, Jonathan Dushoff, Michael M. Desai, Hunter B.
  Fraser","Synonymous codon usage and selection on proteins","33 pages",,,,"q-bio.PE q-bio.GN",,"  Selection pressures on proteins are usually measured by comparing homologous
nucleotide sequences (Zuckerkandl and Pauling 1965). Recently we introduced a
novel method, termed `volatility', to estimate selection pressures on protein
sequences from their synonymous codon usage (Plotkin and Dushoff 2003, Plotkin
et al 2004a). Here we provide a theoretical foundation for this approach. We
derive the expected frequencies of synonymous codons as a function of the
strength of selection, the mutation rate, and the effective population size. We
analyze the conditions under which we can expect to draw inferences from biased
codon usage, and we estimate the time scales required to establish and maintain
such a signal. Our results indicate that, over a broad range of parameters,
synonymous codon usage can reliably distinguish between negative selection,
positive selection, and neutrality. While the power of volatility to detect
negative selection depends on the population size, there is no such dependence
for the detection of positive selection. Furthermore, we show that phenomena
such as transient hyper-mutators in microbes can improve the power of
volatility to detect negative selection, even when the typical observed neutral
site heterozygosity is low.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 04:55:21 GMT""}]","2016-09-08"
