"astro-ph/0412525","Guenter Sigl","Eric Armengaud, Guenter Sigl (GReCO, and APC, Paris), Francesco
  Miniati (ETH Zuerich)","Ultrahigh Energy Nuclei Propagation in a Structured, Magnetized Universe","17 pages, 35 ps figures included","Phys.Rev. D72 (2005) 043009","10.1103/PhysRevD.72.043009",,"astro-ph hep-ph",,"  We compare the propagation of iron and proton nuclei above 10^19 eV in a
structured Universe with source and magnetic field distributions obtained from
a large scale structure simulation and source densities about 10^(-5) Mpc^(-3).
All relevant cosmic ray interactions are taken into account, including
photo-disintegration and propagation of secondary products. Iron injection
predicts spectral shapes different from proton injection which disagree with
existing data below about 30 EeV. Injection of light nuclei or protons must
therefore contribute at these energies. However, at higher energies, existing
data are consistent with injection of pure iron with spectral indices between 2
and 2.4. This allows a significant recovery of the spectrum above roughly 100
EeV, especially in the case of large deflections. Significant auto-correlation
and anisotropy, and considerable cosmic variance are also predicted in this
energy range. The mean atomic mass A fluctuates considerably between different
scenarios. At energies below 60 EeV, if the observed A > 35, magnetic fields
must have a negligible effect on propagation. At the highest energies the
observed flux will be dominated by only a few sources whose location may be
determined by next generation experiments to within 10-20 degrees even if
extra-galactic magnetic fields are important.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:02:28 GMT""}]","2009-11-10"
"astro-ph/0412537","Karen T. Lewis","Karen T. Lewis, Michael Eracleous (Penn State) Mario Gliozzi, Rita M.
  Sambruna (George Mason University), & Richard F. Mushotzky (GSFC/LHEA)","A Simultaneous RXTE and XMM-Newton Observation of the Broad-Line Radio
  Galaxy 3C 111","22 pages, 3 tables, 11 figures, accepted for publication in The
  Astrophysical Journal","Astrophys.J. 622 (2005) 816-829","10.1086/428380",,"astro-ph",,"  We present the results of simultaneous XMM-Newton and RXTE observations of
the Broad-Line Radio Galaxy 3C 111. We find that the Compton reflection bump is
extremely weak, however, broad residuals are clearly present in the spectrum
near the Fe Kalpha emission line region. When fitted with a Gaussian emission
line,the feature has an equivalent width of 40-100eV and full-width at half
maximum of greater than 20,000 km/s, however the exact properties of this weak
line are highly dependent upon the chosen continuum model. The width of the
line suggests an origin in the inner accretion disk, which is, however,
inconsistent with the lack of Compton reflection. We find that much of the
broad residual emission can be attributed to continuum curvature. The data are
consistent with a model in which the primary powerlaw continuum is reprocessed
by an accretion disk which is truncated as small radii. Alternatively, the
primary source could be partially covered by a dense absorber. The latter model
is less attractive than the former because of the small inclination angle of
the jet of 3C 111 to the line of sight. We consider it likely that the curved
continuum of the partial covering model is fortuitously similar to the
continuum shape of the reprocessing model. In both models, the fit is greatly
improved by the addition of an unresolved Fe K alpha emission line, which could
arise either in a Compton-thin obscuring torus or dense clouds lying along the
line of sight. We also find that there are unacceptable residuals at low
energies in the MOS data in particular, which were modeled as a Gaussian with
an energy of ~1.5 keV; we attribute these residuals to calibration
uncertainties of the MOS detectors.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 20:47:47 GMT""}]","2009-11-10"
"astro-ph/0412538","R. B. Metcalf","R. Benton Metcalf (University of California)","The Importance of Intergalactic Structure to Gravitationally Lensed
  Quasars","15 pages, 7 figures, submitted to ApJ","Astrophys.J. 629 (2005) 673-679","10.1086/431574",,"astro-ph",,"  Image flux ratio anomalies have been attributed to substructures within the
gravitational lens and to small mass halos (M <~ 10^10 Msun) in intergalactic
space. In this paper, analytic calculations are presented that help in the
understanding of how intergalactic halos affect magnification ratios. It is
found that intergalactic halos can produce anomalies at a similar level to
those that are observed. Intergalactic halos with masses <10^10 Msun are
expected to cause relative deflections between images of order 10
milliarcseconds, which are then magnified by the primary lens. They will also
cause fluctuations in the surface density on the several percent level. The
importance of intergalactic halos depends strongly on the radial profile of the
halos and the primordial power spectrum at small scales. Strongly lensed
quasars provide an opportunity to probe these properties. A strong dependence
on the QSO redshift is predicted and can be used to distinguish between
intergalactic structure and substructure as the cause of magnification
anomalies. This analytic approach also explains why some previous semi-analytic
estimates disagreed with numerical calculations.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 21:00:09 GMT""}]","2015-06-24"
"astro-ph/0412539","Andrea Dupree","A. K. Dupree, A. Lobel, P. R. Young (Harvard-Smithsonian CfA), T. B.
  Ake (Johns Hopkins U/CSC), J. Linsky, S. Redfield (JILA/U. Colorado/NIST)","A Far-Ultraviolet Spectroscopic Survey of Luminous Cool Stars","Accept for publication in The Astrophysical Journal; 22 pages of
  text, 23 figures and 8 tables","Astrophys.J. 622 (2005) 629-652","10.1086/428111",,"astro-ph",,"  FUSE ultraviolet spectra of 8 giant and supergiant stars reveal that high
temperature (3 X 10^5 K) atmospheres are common in luminous cool stars and
extend across the color-magnitude diagram from Alpha Car (F0 II) to the cool
giant Alpha Tau (K5 III). Emission present in these spectra includes
chromospheric H-Lyman Beta, Fe II, C I, and transition region lines of C III, O
VI, Si III, Si IV. Emission lines of Fe XVIII and Fe XIX signaling temperatures
of ~10^7 K and coronal material are found in the most active stars, Beta Cet
and 31 Com. A short-term flux variation, perhaps a flare, was detected in Beta
Cet during our observation. Stellar surface fluxes of the emission of C III and
O VI are correlated and decrease rapidly towards the cooler stars, reminiscent
of the decay of magnetically-heated atmospheres. Profiles of the C III (977A)
lines suggest that mass outflow is underway at T~80,000 K, and the winds are
warm. Indications of outflow at higher temperatures (3 X 10^5K) are revealed by
O VI asymmetries and the line widths themselves. High temperature species are
absent in the M-supergiant Alpha Ori. Narrow fluorescent lines of Fe II appear
in the spectra of many giants and supergiants, apparently pumped by H Lyman
Alpha, and formed in extended atmospheres. Instrumental characteristics that
affect cool star spectra are discussed.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 21:29:12 GMT""}]","2009-11-10"
"astro-ph/0412540","Martin A. Guerrero","M.A. Guerrero (1), Y.-H. Chu (2), R.A. Gruendl (2), and M. Meixner (3)
  ((1) Instituto de Astrofisica de Andalucia, IAA-CSIC, Spain, (2) Dept. of
  Astronomy, UIUC, USA, (3) Space Telescope Science Institute, Baltimore, USA)","XMM-Newton Detection of Hot Gas in the Eskimo Nebula: Shocked Stellar
  Wind or Collimated Outflows?","4 pages, 2 figures, accepted in Astronomy and Astrophysics Letters",,"10.1051/0004-6361:200400131",,"astro-ph",,"  The Eskimo Nebula (NGC 2392) is a double-shell planetary nebula (PN) known
for the exceptionally large expansion velocity of its inner shell, ~90 km/s,
and the existence of a fast bipolar outflow with a line-of-sight expansion
velocity approaching 200 km/s. We have obtained XMM-Newton observations of the
Eskimo and detected diffuse X-ray emission within its inner shell. The X-ray
spectra suggest thin plasma emission with a temperature of ~2x10^6 K and an
X-ray luminosity of L_X = (2.6+/-1.0)x10^31 (d/1150 pc)^2 ergs/s, where d is
the distance in parsecs. The diffuse X-ray emission shows noticeably different
spatial distributions between the 0.2-0.65 keV and 0.65-2.0 keV bands.
High-resolution X-ray images of the Eskimo are needed to determine whether its
diffuse X-ray emission originates from shocked fast wind or bipolar outflows.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 21:30:04 GMT""}]","2009-11-10"
"astro-ph/0412541","Inga Kamp Dr.","Inga Kamp, Randall Thompson, Alberto Conti, Dorothy Fraquelli, Tim
  Kimball, Karen Levay, Bernie Shiao, Myron Smith, Rachel Somerville, and
  Richard L. White","The Multimission Archive at the Space Telescope Science Institute in the
  context of VO activities","5 pages, 4 figures, proceedings of the conference ""Astronomical Data
  Analysis Software & Systems XIV"", Pasadena, USA, October 2004, eds. P. L.
  Shopbell, M. C. Britton, and R. Ebert",,,,"astro-ph",,"  In the past year, the Multimission Archive at the Space Telescope Science
Institute (MAST) has taken major steps in making MAST's holdings available
using VO-defined protocols and standards, and in implementing VO-based tools.
For example, MAST has implemented the Simple Cone Search protocol, and all MAST
mission searches may be returned in the VOTable format, allowing other archives
to use MAST data for their VO applications. We have made many of our popular
High Level Science Products available through Simple Image Access Protocol
(SIAP), and are implementing the VO Simple Spectral Access Protocol (SSAP). The
cross correlation of VizieR catalogs with MAST missions is now possible, and
illustrates the integration of VO services into MAST. The user can easily
display the results from searches within MAST using the plotting tool VOPlot.
MAST also participates in the NVO registry service. Thus, the user can harvest
MAST holdings simultaneously with data from many other surveys and missions
through the VO DataScope Data Inventory Service.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 21:38:12 GMT""}]","2007-05-23"
"astro-ph/0412542","Derck Massa","E.L. Fitzpatrick (Villanova) and D. Massa (SGT, Inc.)","Determining the Physical Properties of the B Stars II. Calibration of
  Synthetic Photometry","56 pages, 11 Figures, electronic tables not included. To appear in
  AJ, March 2005",,"10.1086/427855",,"astro-ph",,"  We present a new calibration of optical (UBV, Stromgren, uvby-beta, and
Geneva) and near IR (Johnson RIJHK and 2MASS) photometry for B and early A
stars derived from Kurucz (1991) Atlas model atmospheres. Our sample of stars
consists of 45 normal, nearby B and early A stars which have high quality, low
resolution IUE spectra and accurate Hipparcos parallaxes. The calibration is
unique because it relies only on the UV spectral energy distributions, the
absolute flux calibration of the V filter and the Hipparcos distances to
determine the appropriate model atmospheres for the program stars. These models
are then used to calibrate the synthetic photometry. We compare our results
with previous, well accepted results and provide a thorough discussion of the
random errors and systematic effects affecting the calibration. In particular,
we demonstrate the influence of vsini on surface gravities derived from fitting
model atmospheres. Finally, we discuss some of our intended applications of
this new calibration.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 21:45:12 GMT""}]","2009-11-10"
"astro-ph/0412543","John M. Scalo","John Scalo","Fifty Years of IMF Variation: The Intermediate-Mass Stars","18 pages, including 4 figures: invited talk presented at the
  conference on ""IMF@50: The Stellar Initial Mass Function Fifty Years Later""
  held at Abbazia di Spineto, Siena, Italy, May 2004; to be published by Kluwer
  Academic Publishers, edited by E. Corbelli, F. Palla, and H. Zinnecker",,"10.1007/978-1-4020-3407-7_4",,"astro-ph",,"  I track the history of star count estimates of the Milky Way field star and
open cluster IMFs, concentrating on the neglected mass range from 1 to 15
M${_\odot}$. The prevalent belief in a universal IMF appears to be without
basis for this mass range. Two recent estimates of the field star IMF using
different methods and samples give values of the average logarithmic slope
$\Gamma$ between -1.7 and -2.1 in the mass range 1.1 to 4 M${_\odot}$. Two
older estimates between 2 and 15 M${_\odot}$ disagree severely; the field IMF
in this range is essentially unknown from star counts. Variations in $\Gamma$
among open cluster IMFs in this mass range have not decreased despite numerous
detailed studies, even for studies using homogeneous data and reduction
procedures and including only clusters with a significant mass range. These
cluster variations \textit{might} be due to the combined effects of sampling,
systematic errors, stellar evolution uncertainties, dynamical evolution, and
unresolved binaries. If so, then the cluster data are consistent with a
universal IMF, but are also consistent with sizeable variations. The cluster
data do not allow an estimate of an average IMF or $\Gamma$ because the average
depends on the choice of weighting procedure and other effects. If the spread
in cluster IMFs is in excess of the effects listed above, real IMF variations
must occur that do not depend much on physical conditions explored so far. The
complexity of the star formation process seen in observations and simulations
suggests that large realization-to-realization differences might be expected,
in which case an individual cluster IMF would be in part the product of
evolutionary contingency in star formation, and the function of interest is the
probability distribution of IMF parameters.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 22:18:01 GMT""}]","2015-11-11"
"astro-ph/0412544","John F. Beacom","Steve W. Barwick, John F. Beacom, Vince Cianciolo, Scott Dodelson,
  Jonathan L. Feng, George M. Fuller, Manoj Kaplinghat, Doug W. McKay, Peter
  Meszaros, Anthony Mezzacappa, Hitoshi Murayama, Keith A. Olive, Todor Stanev,
  Terry P. Walker","APS Neutrino Study: Report of the Neutrino Astrophysics and Cosmology
  Working Group",,,,,"astro-ph",,"  In 2002, Ray Davis and Masatoshi Koshiba were awarded the Nobel Prize in
Physics ``for pioneering contributions to astrophysics, in particular for the
detection of cosmic neutrinos.'' However, while astronomy has undergone a
revolution in understanding by synthesizing data taken at many wavelengths, the
universe has only barely been glimpsed in neutrinos, just the Sun and the
nearby SN 1987A. An entire universe awaits, and since neutrinos can probe
astrophysical objects at densities, energies, and distances that are otherwise
inaccessible, the results are expected to be particularly exciting. Similarly,
the revolution in quantitative cosmology has heightened the need for very
precise tests that depend on the effects of neutrinos, and prominent among them
is the search for the effects of neutrino mass, since neutrinos are a small but
known component of the dark matter. In this report, we highlight some of the
key opportunties for progress in neutrino astrophysics and cosmology, and the
implications for other areas of physics.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 23:20:10 GMT""}]","2007-05-23"
"astro-ph/0412545","Koji Mukai","K. Mukai (1 and 2) and M. Orio (3 and 4) ((1) NASA/GSFC (2) USRA (3)
  INAF (4) Univ. Wisconsin)","X-ray Observations of the Bright Old Nova V603 Aquilae","30 pages including 10 figures, accepted for publication in
  Astrophysical Journal","Astrophys.J. 622 (2005) 602-612","10.1086/427915",,"astro-ph",,"  We report on our Chandra and RXTE observations of the bright old nova, V603
Aql, performed in 2001 April, supplemented by our analysis of archival X-ray
data on this object. We find that the RXTE data are contaminated by the
Galactic Ridge X-ray emission. After accounting for this effect, we find a high
level of aperiodic variability in the RXTE data, at a level consistent with the
uncontaminated Chandra data. The Chandra HETG spectrum clearly originates in a
multi-temperature plasma. We constrain the possible emission measure
distribution of the plasma through a combination of global and local fits. The
X-ray luminosity and the spectral shape of V603 Aql resemble those of SS Cyg in
transition between quiescence and outburst. The fact that the X-ray flux
variability is only weakly energy dependent can be interpreted by supposing
that the variability is due to changes in the maximum temperature of the
plasma. The plasma density is likely to be high, and the emission region is
likely to be compact. Finally, the apparent overabundance of Ne is consistent
with V603 Aql being a young system.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 23:47:21 GMT""}]","2009-11-10"
"astro-ph/0412546","Spencer Klein","Spencer R. Klein","Cascades from $\nu_e$ above $10^{20}$ eV","Presented at ""QCD at Cosmic Energies,"" Erice, Italy, Sept. 29-Oct. 5,
  2004. 18 pgs. with 8 figures",,,,"astro-ph hep-ph nucl-ex",,"  At very high energies, the Landau-Pomeranchuk-Migdal effect reduces the cross
sections for electron bremsstrahlung and photon $e^+e^-$ pair production. The
fractional electron energy loss and pair production cross sections drop as the
energy increases. In contrast, the cross sections for photonuclear interactions
grow with energy. In solids and liquids, at energies above $10^{20}$ eV,
photonuclear reactions dominate, and showers that originate as photons or
electrons quickly become hadronic showers. These electron-initiated hadronic
showers are much shorter (due to the absence of the LPM effect), but wider than
purely electromagnetic showers would be. This change in shape alters the
spectrum of the electromagnetic and acoustic radiation emitted from the shower.
These alterations have important implications for existing and planned searches
for radiation from $\nu_e$ induced showers above $10^{20}$ eV, and some
existing limits should be reevaluated.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 00:59:54 GMT""}]","2007-05-23"
"astro-ph/0412547","Andrew Young","A. J. Young, A. S. Wilson, S. J. Tingay, S. Heinz","The Halo, Hot Spots and Jet/Cloud Interaction of PKS 2153--69","Accepted for publication in the Astrophysical Journal. It is
  tentatively scheduled for the ApJ 10 April 2005, v623 1 issue","Astrophys.J. 622 (2005) 830-841","10.1086/428280",,"astro-ph",,"  We report Chandra X-ray Observatory and 1.4 GHz Australian Long Baseline
Array (LBA) observations of the radio galaxy PKS 2153--69 and its environment.
The Chandra image reveals a roughly spherical halo of hot gas extending out to
30 kpc around PKS 2153--69. Two depressions in the surface brightness of the
X-ray halo correspond to the large scale radio lobes, and interpreting these as
cavities inflated with radio plasma we infer a jet power of 4x10^42 erg/s. Both
radio lobes contain hot spots that are detected by Chandra. In addition, the
southern hot spot is detected in the 1.4 GHz LBA observation, providing the
highest linear resolution image of a radio lobe hot spot to date. The northern
hot spot was not detected in the LBA observation. The radio to X-ray spectra of
the hot spots are consistent with a simple power law emission model. The
nucleus has an X-ray spectrum typical of a type 1 active galactic nucleus, and
the LBA observation shows a one-sided nuclear jet on 0.1"" scales. Approximately
10"" northeast of the nucleus, X-ray emission is associated with an
extra-nuclear cloud. The X-ray emission from the cloud can be divided into two
regions, an unresolved western component associated with a knot of radio
emission (in a low resolution map), and a spatially extended eastern component
aligned with the pc-scale jet and associated with highly ionized optical
line-emitting clouds. The X-ray spectrum of the eastern component is very soft
(Gamma > 4.0 for a power law model or kT ~0.22 keV for a thermal plasma). The
LBA observation did not detect compact radio emission from the extra-nuclear
cloud. (Abstract truncated).
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 02:47:10 GMT""}]","2009-11-10"
"astro-ph/0412548","Gael Chauvin","G. Chauvin, A.-M. Lagrange, F. Lacombe, C. Dumas, D. Mouillet, B.
  Zuckerman, E. Gendron, I. Song, J.-L. Beuzit, P. Lowrance and T. Fusco","Astrometric and Spectroscopic Confirmation of a Brown Dwarf Companion to
  GSC 08047-00232","8 pages, 4 figures, A&A accepted",,,,"astro-ph",,"  We report VLT/NACO imaging observations of the stars GSC 08047-00232 and HIP
6856, probable members of the large Tucana-Horologium association. During our
previous ADONIS/SHARPII deep imaging survey, a substellar candidate companion
was discovered around each star. Based on VLT/NACO astrometric measurements, we
find that GSC 08047-00232 and the faint candidate companion near to it share
the same proper motion with a significance of 3.1sigma. On the contrary, the
candidate companion to HIP 6856 is probably a background object with a
significance of 4.3sigma. We also detect a new fainter and closer candidate
companion to HIP 6856, but which is likely a background object too with a
significance of 4sigma. Recent VLT/NACO spectroscopic measurements of GSC
08047-00232 finally confirm the substellar nature of this young brown dwarf
with a derived spectral type M9.5. GSC 08047-00232 B, with an estimated mass of
25MJup and an effective temperature of 2100K, is presently the third substellar
companion identified among young, nearby associations.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 03:45:00 GMT""}]","2007-05-23"
"astro-ph/0412549","Tao An","Z.-Q. Shen, L.-L.Shang, H.-B.Cai, X.Chen, D.R.Jiang, Y.-J.Chen, X.Liu,
  R. Yang, S.Kameno and H.Hirabayashi","The Center of Activity in the CSS Superluminal Source 3C 138","14 pages, 4 figures, accepted by ApJ","Astrophys.J.622:811-815,2005","10.1086/428284",,"astro-ph",,"  We present the results from the first quasi-simultaneous multi-frequency
(2.3, 5.0, 8.4 and 15 GHz) Very Long Baseline Interferometry (VLBI)
observations of a compact steep spectrum (CSS) superluminal source 3C138. For
the first time, the spectral distribution of the components within its central
10 milli-arcsecond (mas) region was obtained. This enables us to identify the
component at the western end as the location of the nuclear activity on the
assumption that the central engine is associated with one of the detected
components. The possibility that none of these visible components is the true
core is also discussed. The new measurements further clarify the superluminal
motions of its inner jet components. The multi-frequency data reveal a convex
spectrum in one jet component, inferring the existence of free-free absorption
by the ambient dense plasma.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 06:58:46 GMT""}]","2008-11-26"
"astro-ph/0412550","Yogesh Joshi","Y. C. Joshi (1,2), A. K. Pandey (2), D. Narasimha (1,3), R. Sagar (2)
  ((1) TIFR, (2) ARIES, (3) Tohoku University)","First microlensing candidate towards M31 from the Nainital Microlensing
  Survey","no changes except typos corrected, to appear in A&A",,"10.1051/0004-6361:20042357",,"astro-ph",,"  We report our first microlensing candidate NMS-E1 towards M31 from the data
accumulated during the four years of Nainital Microlensing Survey. Cousin R and
I band observations of ~13'x13' field in the direction of M31 have been carried
out since 1998 and data is analysed using the pixel technique proposed by the
AGAPE collaboration. NMS-E1 lies in the disk of M31 at \alpha = 0:43:33.3 and
\delta = +41:06:44, about 15.5 arcmin to the South-East direction of the center
of M31. The degenerate Paczy\'{n}ski fit gives a half intensity duration of ~59
days. The photometric analysis of the candidate shows that it reached R~20.1
mag at the time of maximum brightness and the colour of the source star was
estimated to be (R-I)_0 ~ 1.1 mag. The microlensing candidate is blended by red
variable stars; consequently the light curves do not strictly follow the
characteristic Paczy\'{n}ski shape and achromatic nature. However its long
period monitoring and similar behaviour in R and I bands supports its
microlensing nature.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 07:09:19 GMT""},{""version"":""v2"",""created"":""Fri, 31 Dec 2004 11:12:47 GMT""}]","2009-11-10"
"astro-ph/0412551","Lesgourgues","Julien Lesgourgues, Michele Liguori, Sabino Matarrese, Antonio Riotto","CMB lensing extraction and primordial non-Gaussianity","5 pages, 1 figure","Phys.Rev. D71 (2005) 103514","10.1103/PhysRevD.71.103514","DFPD/04/A26, LAPTH-1081/04","astro-ph gr-qc hep-ph",,"  The next generation of CMB experiments should get a better handle on
cosmological parameters by mapping the weak lensing deflection field, which is
separable from primary anisotropies thanks to the non-Gaussianity induced by
lensing. However, the generation of perturbations in the Early Universe also
produces a level of non-Gaussianity which is known to be small, but can
contribute to the anisotropy trispectrum at the same level as lensing. In this
work, we study whether the primordial non-Gaussianity can mask the lensing
statistics. We concentrate only on the ``temperature quadratic estimator'' of
lensing, which will be nearly optimal for the Planck satellite, and work in the
flat-sky approximation. We find that primordial non-Gaussianity contaminates
the deflection field estimator by roughly (0.1 f_NL)% at large angular scales,
which represents at most a 10% contribution, not sufficient to threaten lensing
extraction, but enough to be taken into account.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 08:03:15 GMT""}]","2009-11-10"
"astro-ph/0412552","Ralf Quast","R. Quast, D. Reimers, A. Smette, O. Garcet, C. Ledoux, S. Lopez, L.
  Wisotzki","Cosmochemistry, Cosmology and Fundamental Constants: High-Resolution
  Spectroscopy of Damped Lyman-Alpha Systems","Poster presented at the 22nd Texas Symposium at Stanford, December
  14-17 2004, (TSRA04) 3 pages, LaTeX, 3 EPS figures, synchronized with
  proceedings version",,,,"astro-ph",,"  Spectroscopy of QSO absorption lines provides essential observational input
for the study of nucleosynthesis and chemical evolution of galaxies at high
redshift. But new observations may indicate that present chemical abundance
data are biased due to deficient spectral resolution and unknown selection
effects: Recent high-resolution spectra reveal the hitherto unperceived
chemical nonuniformity of a molecule-bearing damped Lyman-alpha (DLA) system,
and the still ongoing H/ESO DLA survey produces convincing evidence for the
effect of dust attenuation. We present a revised analysis of the moleculecular
hydrogen-bearing DLA complex toward the QSO HE 0515-4414 showing nonuniform
differential depletion of chemical elements onto dust grains, and introduce the
H/ESO DLA survey and its implications. Conclusively, we aim at starting an
unbiased chemical abundance database established on high-resolution
spectroscopic observations. New data to probe the temperature-redshift relation
predicted by standard cosmology and to test the constancy of fundamental
constants will be potential spin-offs.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 08:06:34 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jan 2005 11:16:36 GMT""},{""version"":""v3"",""created"":""Tue, 8 Feb 2005 08:24:38 GMT""},{""version"":""v4"",""created"":""Wed, 23 Feb 2005 17:23:41 GMT""}]","2007-05-23"
"astro-ph/0412553","Sven de Rijcke","S. De Rijcke, D. Michielsen, H. Dejonghe, W. W. Zeilinger, G. K. T.
  Hau","Formation and evolution of dwarf elliptical galaxies I. Structural and
  kinematical properties","submitted to A&A",,"10.1051/0004-6361:20042213",,"astro-ph",,"  This paper is the first in a series in which we present the results of an ESO
Large Program on the kinematics and internal dynamics of dwarf elliptical
galaxies (dEs). We investigate the relations between the parameters that
quantify the structure and internal dynamics of dEs such as the Faber_Jackson
relation and the Fundamental Plane (FP).
  We show that the dE sequences in the various diagrams are disjunct from those
traced by bright and intermediate-luminosity elliptical galaxies and bulges of
spirals. It appears that semi-analytical models (SAMs) are able to reproduce
the position of the dEs in those diagrams.
  While these findings are clearly a success for the hierarchical-merging
picture of galaxy formation, they do not necessarily invalidate the alternative
``harassment'' scenario, which posits that dEs stem from perturbed and stripped
late-type disk galaxies that entered clusters and groups of galaxies about 5
Gyr ago.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 09:36:51 GMT""},{""version"":""v2"",""created"":""Wed, 22 Dec 2004 07:10:23 GMT""}]","2009-11-10"
