"astro-ph/0409159","Daniele Fargion","M. Iori, A. Sergi and D. Fargion","Test results of a prototype designed to detect horizontal cosmic ray
  flux","12 pages, 13 figures",,,,"astro-ph hep-ph",,"  In this paper we report test results from a prototype designed to detect
muons from horizontal air shower at large zenith angle,
  $86^{0}<\Theta<93^{0}$. To detect horizontal tracks and their directions we
select them according the muon vertical equivalent charge and we measure the
time of flight with a time resolution of 800 ps. Several measurements are
collected at different zenith angles. The background studies performed with two
modules show that the main source is due to tracks crossing the module at the
same time. The upper limit of background flux for a single twin module is
estimated to be $10^{-9} cm^{-2}$ $s^{-1}$ $sr^{-1} (90%CL)$. We estimated the
size of the surface array necessary to detect the shower flux of the order of
$10^{-9} cm^{-2}$ $yr^{-1}$ $sr^{-1}$ if originated by Tau Air-Showers
secondaries of GZK neutrino Tau below the horizons.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:02:06 GMT""},{""version"":""v2"",""created"":""Tue, 5 Oct 2004 07:56:25 GMT""}]","2016-08-30"
"math/0409105","Bridget Tenner","Bridget Eileen Tenner","Tiling Parity Results and the Holey Square Solution","12 pages. Generalized parity theorem and new corollaries",,,,"math.CO",,"  We prove combinatorially that the parity of the number of domino tilings of a
region is equal to the parity of the number of domino tilings of a particular
subregion. Using this result we can resolve the holey square conjecture. We
furthermore give combinatorial proofs of several other tiling parity results,
including that the number of domino tilings of a particular family of
rectangles is always odd.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:00:15 GMT""},{""version"":""v2"",""created"":""Thu, 7 Oct 2004 18:11:31 GMT""}]","2007-05-23"
"math/0409106","Lars Kadison","Lars Kadison","Hopf algebroids and Galois extensions","19 pages, to appear in the Bulletin of the Belgian Mathematical
  Society - Simon Stevin in approx. the second issue of 2005",,,,"math.QA math.AC math.RA",,"  To a finite Hopf-Galois extension $A | B$ we associate dual bialgebroids $S
:= \End_BA_B$ and $T := (A \o_B A)^B$ over the centralizer $R$ using the depth
two theory in math.RA/0108067. First we extend results on the equivalence of
certain properties of Hopf-Galois extensions with corresponding properties of
the coacting Hopf algebra \cite{KT,Doi} to depth two extensions using coring
theory math.RA/0002105. Next we show that $T^{\rm op}$ is a Hopf algebroid over
the centralizer $R$ via Lu's theorem 5.1 in math.QA/9505024 for smash products
with special modules over the Drinfel'd double, the Miyashita-Ulbrich action,
the fact that $R$ is a commutative algebra in the pre-braided category of
Yetter-Drinfel'd modules \cite[Schauenburg]{Sch} and the equivalence of
Yetter-Drinfel'd modules with modules over Drinfel'd double \cite[Majid]{Maj}.
In our last section, an exposition of results of Sugano \cite{Su82,Su87} leads
us to a Galois correspondence between sub-Hopf algebroids of $S$ over simple
subalgebras of the centralizer with finite projective intermediate simple
subrings of a finite projective H-separable extension of simple rings $A
\supseteq B$.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:33:32 GMT""}]","2007-05-23"
"math/0409107","R. James Shank","M\""ufit Sezer, R. James Shank","Coinvariants for modular representations of cyclic groups of prime order",,,,"UKC/IMS/04/29","math.AC math.GR",,"  We consider the ring of coinvariants for modular representations of cyclic
groups of prime order. For all cases for which explicit generators for the ring
of invariants are known, we give a reduced Gr\""obner basis for the Hilbert
ideal and the corresponding monomial basis for the coinvariants. We also
describe the decomposition of the coinvariants as a module over the group ring.
For one family of representations, we are able to describe the coinvariants
despite the fact that an explicit generating set for the invariants is not
known. In all cases our results confirm the conjecture of Harm Derksen and
Gregor Kemper on degree bounds for generators of the Hilbert ideal. As an
incidental result, we identify the coefficients of the monomials appearing in
the orbit product of a terminal variable for the three dimensional
indecomposable representation.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:16:14 GMT""}]","2007-05-23"
"math/0409108","Fernando Guzman","Fernando Guzman","The Hyperradical and The Hopkins-Levitzki Theorem for Modular Lattices","7 pages, LaTeX",,,,"math.RA",,"  Many arguments in the Theory of Rings and Modules are, on close inspection,
purely Lattice theoretic arguments. Calagareanu} has a long repertoire of such
results in his book. The Hopkins-Levitzki Theorem is interesting from this
point of view, because a special case of it lends to an obvious lattice theory
approach, but the rest is a little more subtle. Albu and Smith have obtained
some sufficient conditions for the question of when Artinian implies
Noetherian. Here we present a new approach, using the concept of Hyperradical;
we obtain necessary and sufficient conditions.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:51:42 GMT""}]","2007-05-23"
"math/0409109","Y. Firat Celikler","Y. Firat Celikler","Dimension theory and parameterized normalization for D-semianalytic sets
  over non-Archimedean fields","27 pages",,,,"math.LO",,"  We develop a dimension theory for D-semianalytic sets over an arbitrary
non-Archimedean complete field. Our main results are the equivalence of several
notions of dimension and a theorem on additivity of dimensions of projections
and fibers in characteristic 0. We also prove a parameterized version of
normalization for D-semianalytic sets.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 19:15:03 GMT""},{""version"":""v2"",""created"":""Tue, 29 Mar 2005 06:26:00 GMT""}]","2007-05-23"
"math/0409110","Arnold W. Miller","Arnold W. Miller and Juris Steprans","The number of translates of a closed nowhere dense set required to cover
  a Polish group","LaTeX2e 10 pages",,,,"math.LO",,"  For a Polish group G let cov_G be the minimal number of translates of a fixed
closed nowhere dense subset of G required to cover G. For many locally compact
G this cardinal is known to be consistently larger than cov(meager) which is
the smallest cardinality of a covering of the real line by meagre sets. It is
shown that for several non-locally compact groups cov_G=cov(meager). For
example the equality holds for the group of permutations of the integers, the
additive group of a separable Banach space with an unconditional basis and the
group of homeomorphisms of various compact spaces.
  Most recent version at: www.math.wisc.edu/~miller
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 19:16:21 GMT""}]","2007-05-23"
"math/0409111","Igor Borovikov","Igor Borovikov","Order Reduction of Optimal Control Systems","29 pages",,,,"math.OC math.CT",,"  The paper presents necessary and sufficient conditions for the order
reduction of optimal control systems. Exploring the corresponding Hamiltonian
system allows to solve the order reduction problem in terms of dynamical
systems, observability and invariant differential forms. The approach is
applicable to non-degenerate optimal control systems with smooth integral cost
function. The cost function is defined on the trajectories of a smooth
dynamical control system with unconstrained controls and fixed boundary
conditions. Such systems form a category of Lagrangian systems with morphisms
defined as mappings preserving extremality of the trajectories. Order reduction
is defined as a factorization in the category of Lagrangian systems.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 23:39:38 GMT""}]","2007-05-23"
"math/0409112","Galin Jones","Galin L. Jones","On the Markov chain central limit theorem",,,,,"math.PR math.ST stat.TH",,"  The goal of this expository paper is to describe conditions which guarantee a
central limit theorem for functionals of general state space Markov chains.
This is done with a view towards Markov chain Monte Carlo settings and hence
the focus is on the connections between drift and mixing conditions and their
implications. In particular, we consider three commonly cited central limit
theorems and discuss their relationship to classical results for mixing
processes. Several motivating examples are given which range from toy
one-dimensional settings to complicated settings encountered in Markov chain
Monte Carlo.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 20:23:34 GMT""},{""version"":""v2"",""created"":""Thu, 10 Mar 2005 21:01:04 GMT""}]","2007-06-13"
"math/0409113","Haibin Wang","Haibin Wang, Praveen Madiraju, Yanqing Zhang, Rajshekhar Sunderraman","Interval Neutrosophic Sets","16 pages, 2 figures",,,,"math.GM",,"  Neutrosophic set is a part of neutrosophy which studies the origin, nature,
and scope of neutralities, as well as their interactions with different
ideational spectra. Neutrosophic set is a powerful general formal framework
that has been recently proposed. However, neutrosophic set needs to be
specified from a technical point of view. To this effect, we define the
set-theoretic operators on an instance of neutrosophic set, we call it interval
neutrosophic set (INS). We prove various properties of INS, which are connected
to the operations and relations over INS. Finally, we introduce and prove the
convexity of interval neutrosophic sets.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 20:40:43 GMT""}]","2007-05-23"
"math/0409114","Juan Migliore","Jeaman Ahn and Juan C. Migliore","Some Geometric Results arising from the Borel Fixed Property","31 pages",,,,"math.AC math.AG",,"  In this paper, we will give some geometric results using generic initial
ideals for the degree reverse lex order. The first application is to the
regularity of a Cohen-Macaulay algebra, and we improve a well-known bound. The
main goal of the paper, though, is to improve on results of Bigatti, Geramita
and Migliore concerning geometric consequences of maximal growth of the Hilbert
function of the Artinian reduction of a set of points. When the points have the
Uniform Position Property, the consequences they gave are even more striking.
Here we weaken the growth condition, assuming only that the values of the
Hilbert function of the Artinian reduction are equal in two consecutive
degrees, and that the first of these degrees is greater than the second
reduction number of the points. We continue to get nice geometric consequences
even from this weaker assumption. However, we have surprising examples to show
that imposing the Uniform Position Property on the points does not give the
striking consequences that one might expect. This leads to a better
understanding of the Hilbert function, and the ideal itself, of a set of points
with the Uniform Position Property, which is an important open question. In the
last section we describe the role played by the Weak Lefschetz Property (WLP)
in this theory, and we show that the general hyperplane section of a smooth
curve may fail to have WLP.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 21:19:08 GMT""}]","2007-05-23"
"math/0409115","Luis Dieulefait","Luis Dieulefait","Elliptic mod \ell Galois representations which are not minimally
  elliptic",,,,,"math.NT",,"  In a recent preprint, F. Calegari has shown that for $\ell = 2, 3, 5$ and 7
there exist 2-dimensional surjective representations $\rho$ of
$\Gal(\bar{\Q}/\Q)$ with values in $\F_\ell$ coming from the $\ell$-torsion
points of an elliptic curve defined over $\Q$, but not minimally, i.e., so that
any elliptic curve giving rise to $\rho$ has prime-to-$\ell$ conductor greater
than the (prime-to-$\ell$) conductor of $\rho$. In this brief note, we will
show that the same is true for any prime $\ell >7$, concretely, we will show
that for any such $\ell$ the elliptic curve $$E^\ell: \qquad Y^2 = X (X- 3^\ell
) (X - 3^\ell - 1) $$ is semistable, has bad reduction at 3, the associated
$\mod \ell$ Galois representation $\rho$ is surjective, unramified at 3, and
there is no elliptic curve with good reduction at 3 whose associated $\mod
\ell$ representation is isomorphic to $\rho$.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 21:44:39 GMT""},{""version"":""v2"",""created"":""Tue, 1 Feb 2005 18:38:19 GMT""}]","2016-09-07"
"math/0409116","Matt Kerr","Matt Kerr, James Lewis, Stefan M\""uller-Stach","The Abel-Jacobi map for higher Chow groups","29 pages, 1 figure",,,,"math.AG",,"  We construct a map between Bloch's higher Chow groups and Deligne homology
for smooth, complex quasiprojective varieties on the level of complexes. For
complex projective varieties this results in a formula which generalizes at the
same time the classical Griffiths Abel-Jacobi map and the
Borel/Beilinson/Goncharov regulator type maps.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 21:55:46 GMT""}]","2007-05-23"
"math/0409117","Konstantin Styrkas","Igor B. Frenkel, Konstantin Styrkas","Modified regular representations of affine and Virasoro algebras, VOA
  structure and semi-infinite cohomology","39 pages",,,,"math.QA",,"  We identify the algebra of matrix elements of big projective modules in
category O with the regular functions on the big Bruhat cell of G. Analogous
extensions of the regular representations of the affine Lie and Virasoro
algebras yield vertex operator algebras, equipped with two commuting actions
with special values of the total central charge. In the generic case, we
identify the structure of these VOAs, compute their semi-infinite cohomology.
Its superalgebra structure encodes the fusion rules for the associated tensor
categories. Full details are provided for the affine sl(2) and Virasoro
algebras, and various generalizations and extensions are discussed.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 23:47:10 GMT""}]","2007-05-23"
"math/0409118","Julianna S. Tymoczko","Julianna S. Tymoczko","Paving Hessenberg varietes by affines","15 pages, v2: minor textual revisions",,,,"math.AG math.RT",,"  Regular nilpotent Hessenberg varieties form a family of subvarieties of the
flag variety arising in the study of quantum cohomology, geometric
representation theory, and numerical analysis. In this paper we construct a
paving by affines of regular nilpotent Hessenberg varieties for all classical
types, generalizing results of de Concini-Lusztig-Procesi and Kostant. This
paving is in fact the intersection of a particular Bruhat decomposition with
the Hessenberg variety. The nonempty cells of the paving and their dimensions
are identified by combinatorial conditions on roots. We use the paving to prove
these Hessenberg varieties have no odd-dimensional homology.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 23:10:21 GMT""},{""version"":""v2"",""created"":""Mon, 4 Jun 2007 15:31:38 GMT""}]","2007-06-13"
"math/0409119","Daniel Jupiter","Daniel Jupiter, David Redett","Invariant subspaces of $RL^1$","4 pages",,,,"math.FA",,"  In this note we extend D. Singh and A. A. W. Mehanna's invariant subspace
theorem for $RH^1$ (the real Banach space of analytic functions in $H^1$ with
real Taylor coefficients) to the simply invariant subspaces of $RL^1$ (the real
Banach space of functions in $L^1$ with real Fourier coefficients).
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 00:47:24 GMT""}]","2007-05-23"
"math/0409120","Daniel Jupiter","Albert Boggess, Daniel Jupiter","Global approximation of CR functions on Bloom-Graham model graphs in
  $C^n$","8 pages",,,,"math.CV",,"  We define a class of generic CR submanifolds of $C^n$ of real codimension
$d$, with $d$ in $1, ..., n-1$, called the Bloom-Graham model graphs, whose
graphing functions are partially decoupled in their dependence on the variables
in the real directions. We prove a global version of the Baouendi-Treves CR
approximation theorem, for Bloom-Graham model graphs with a polynomial growth
assumption on their graphing functions.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 01:01:12 GMT""}]","2007-05-23"
"math/0409121","Dave Morris","Pralay Chatterjee and Dave Witte Morris","Divergent torus orbits in homogeneous spaces of Q-rank two","10 pages, no figures",,,,"math.DG",,"  Let G be the real points of a semisimple algebraic Q-group, let H be an
arithmetic subgroup of G and let T be the real points of an R-split torus in G.
We prove that if there is a divergent T-orbit in G/H, and Q-rank(G) > 1, then
the dimension of T is not larger than Q-rank(G). This provides a partial answer
to a question of G.Tomanov and B.Weiss.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 01:42:10 GMT""}]","2007-05-23"
"math/0409122","Lars Hesselholt","Thomas Geisser and Lars Hesselholt","Bi-relative algebraic K-theory and topological cyclic homology",,"Invent. Math. 166 (2006), 359-395.","10.1007/s00222-006-0515-y",,"math.NT math.KT",,"  It is well-known that algebraic K-theory preserves products of rings.
However, in general, algebraic K-theory does not preserve fiber-products of
rings, and bi-relative algebraic K-theory measures the deviation. It was proved
by Cortinas that,rationally, bi-relative algebraic K-theory and bi-relative
cyclic homology agree. In this paper, we show that, with finite coefficients,
bi-relative algebraic K-theory and bi-relative topological cyclic homology
agree. As an application, we show that for a, possibly singular, curve over a
perfect field of positive characteristic p, the cyclotomic trace map induces an
isomorphism of the p-adic algebraic K-groups and the p-adic topological cyclic
homology groups in non-negative degrees. As a further application, we show that
the difference between the p-adic K-groups of the integral group ring of a
finite group and the p-adic K-groups of a maximal Z-order in the rational group
algebra can be expressed entirely in terms of topological cyclic homology.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 01:58:14 GMT""},{""version"":""v2"",""created"":""Tue, 21 Sep 2004 03:08:52 GMT""},{""version"":""v3"",""created"":""Wed, 5 Jan 2005 08:06:14 GMT""},{""version"":""v4"",""created"":""Sun, 12 Mar 2006 02:55:55 GMT""}]","2015-06-26"
"math/0409123","Nero Budur","Nero Budur","On the V-filtration of D-modules","To appear in ""Geometric methods in algebra and number theory""
  Proceedings of a December 2003 conference at the University of Miami, edited
  by F. Bogomolov and Yu. Tschinkel",,,,"math.AG",,"  In this mostly expository note we give a down-to-earth introduction to the
V-filtration of M. Kashiwara and B. Malgrange on D-modules. We survey some
applications to generalized Bernstein-Sato polynomials, multiplier ideals, and
monodromy of vanishing cycles.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 02:33:37 GMT""}]","2007-05-23"
"math/0409125","Perrin Nicolas","Nicolas Perrin","Courbes elliptiques sur la variete spinorielle de dimension 10","9 pages, in french",,,,"math.AG",,"  In this article we answer a question of D. Markushevich and prove the
irreducibility of the scheme of morphisms from an elliptic curve to the spinor
tenfold.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 09:17:49 GMT""}]","2007-05-23"
"math/0409126","Luis Felipe Tabera","L. F. Tabera","Tropical constructive Pappus' theorem","12 pages, 3 figures. Revised version but unedited with respect to the
  published version in the IMRN","IMRN 2005:39 (2005) 2373-2389","10.1155/IMRN.2005.2373",,"math.AG",,"  In this paper, we state the validity of Cramer's rule in a tropical context
and its correspondence with classical Cramer's rule. This correspondence will
allow us to prove a constructive version of Pappus' theorem conjectured in the
paper First Steps in Tropical Geometry, math.AG/0306366
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 10:02:21 GMT""},{""version"":""v2"",""created"":""Wed, 26 Oct 2005 12:03:32 GMT""},{""version"":""v3"",""created"":""Wed, 20 Dec 2006 10:49:49 GMT""}]","2007-05-23"
"math/0409127","Antonio Laface","Antonio Laface, Luca Ugaglia","A counterexample to a conjecture on linear systems on P^3","6 pages, LaTeX","Advances in Geometry, vol. 4 (2004), no. 3, 365--371",,,"math.AG",,"  In this note we give a counterexample to a conjecture proposed by Ciliberto
about special linear systems of P^n through multiple base points.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 11:37:35 GMT""}]","2007-05-23"
"math/0409128","Antonio Laface","Antonio Laface, Luca Ugaglia","A conjecture on special linear systems of P^3","4 pages, LaTeX",,,,"math.AG",,"  In this note we consider the behavior of linear systems of P^3 through fat
points under a cubo-cubic Cremona transformation. This allows us to produce a
class of special systems which we conjecture to be the only ones.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 11:43:42 GMT""}]","2007-05-23"
"math/0409129","Antonio Laface","Antonio Laface, Luca Ugaglia","On multiples of divisors associated to Veronese embeddings with
  defective secant variety","10 pages, LaTeX","Bull. Belg. Math. Soc. Simon Stevin 16 (2009), 933-942",,,"math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this note we consider multiples aD, where D is a divisor of the blow-up of
P^n along points in general position which appears in the Alexander and
Hirschowitz list of Veronese embeddings having defective secant varieties. In
particular we show that there is such a D with h^1(X,D) > 0 and h^1(X,2D) = 0.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 11:48:25 GMT""},{""version"":""v2"",""created"":""Wed, 17 Mar 2010 11:41:07 GMT""}]","2010-03-18"
"math/0409130","Stefan Waldmann","Stefan Jansen, Stefan Waldmann","The H-Covariant Strong Picard Groupoid","LaTeX 2e, 50 pages. Revised version with additional examples and
  references. To appear in JPAA",,,"FR-THEP 2004/16","math.QA math.RA",,"  The notion of H-covariant strong Morita equivalence is introduced for
*-algebras over C = R(i) with an ordered ring R which are equipped with a
*-action of a Hopf *-algebra H. This defines a corresponding H-covariant strong
Picard groupoid which encodes the entire Morita theory. Dropping the positivity
conditions one obtains H-covariant *-Morita equivalence with its H-covariant
*-Picard groupoid. We discuss various groupoid morphisms between the
corresponding notions of the Picard groupoids. Moreover, we realize several
Morita invariants in this context as arising from actions of the H-covariant
strong Picard groupoid. Crossed products and their Morita theory are
investigated using a groupoid morphism from the H-covariant strong Picard
groupoid into the strong Picard groupoid of the crossed products.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 12:45:23 GMT""},{""version"":""v2"",""created"":""Mon, 25 Apr 2005 12:58:30 GMT""}]","2007-05-23"
"math/0409131","Michael Todd","Jaume Llibre and Michael Todd","Periods for holomorphic maps via Lefschetz numbers","4 pages",,"10.1155/AAA.2005.575",,"math.DS",,"  We characterise the set of fixed points of a class of holomorphic maps on
complex manifolds with a prescribed homology. Our main tool is the Lefschetz
number and the action of maps on the first homology group.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 12:45:51 GMT""}]","2015-06-26"
"math/0409132","Lior Pachter","Lior Pachter and Bernd Sturmfels","The Mathematics of Phylogenomics","41 pages, 4 figures",,,,"math.ST q-bio.QM stat.TH",,"  The grand challenges in biology today are being shaped by powerful
high-throughput technologies that have revealed the genomes of many organisms,
global expression patterns of genes and detailed information about variation
within populations. We are therefore able to ask, for the first time,
fundamental questions about the evolution of genomes, the structure of genes
and their regulation, and the connections between genotypes and phenotypes of
individuals. The answers to these questions are all predicated on progress in a
variety of computational, statistical, and mathematical fields.
  The rapid growth in the characterization of genomes has led to the
advancement of a new discipline called Phylogenomics. This discipline results
from the combination of two major fields in the life sciences: Genomics, i.e.,
the study of the function and structure of genes and genomes; and Molecular
Phylogenetics, i.e., the study of the hierarchical evolutionary relationships
among organisms and their genomes. The objective of this article is to offer
mathematicians a first introduction to this emerging field, and to discuss
specific mathematical problems and developments arising from phylogenomics.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 13:20:32 GMT""},{""version"":""v2"",""created"":""Tue, 27 Sep 2005 07:12:08 GMT""}]","2007-06-13"
"math/0409133","Kevin Knudson","Kevin P. Knudson","Invariant chains and the homology of quotient spaces","14 pages",,,,"math.AT",,"  For a finite group G and a finite G-CW-complex X, we construct groups
H_\bullet(G,X) as the homology groups of the G-invariants of the cellular chain
complex C_\bullet(X). These groups are related to the homology of the quotient
space X/G via a norm map, and therefore provide a mechanism for calculating
H_\bullet(X/G). We compute several examples and provide a new proof of ``Smith
theory"": if G=Z/p and X is a mod p homology sphere on which G acts, then the
subcomplex X^G is empty or a mod $p$ homology sphere. We also get a new proof
of the Conner conjecture: If G=Z/p acts on a Z-acyclic space X, then X/G is
Z-acyclic.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 13:06:42 GMT""}]","2007-05-23"
"math/0409134","Nurit Gazit","Nurit Gazit, Michael Krivelevich","On the asymptotic value of the choice number of complete multi-partite
  graphs","16 pages",,,,"math.CO",,"  We calculate the asymptotic value of the choice number of complete
multi-partite graphs.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 13:26:56 GMT""}]","2007-05-23"
"math/0409135","Carles Rovira","Carles Rovira and amy Tindel","On the Brownian directed polymer in a Gaussian random environment",,,,,"math.PR",,"  In this paper, we introduce a model of Brownian polymer in a continuous
random environment. The asymptotic behavior of the partition function
associated to this polymer measure is studied, and we are able to separate a
weak and strong disorder regime under some reasonable assumptions on the
spatial covariance of the environment. Some further developments, concerning
some concentration inequalities for the partition function, are given for the
weak disorder regime.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 13:46:16 GMT""}]","2007-05-23"
"math/0409136","Nicolas Ginoux","Florin Belgun, Nicolas Ginoux, Hans-Bert Rademacher","A Singularity Theorem for Twistor Spinors","22 pages, extended version of math.DG/0409136",,,,"math.DG",,"  We study spin structures on orbifolds. In particular, we show that if the
singular set has codimension greater than 2, an orbifold is spin if and only if
its smooth part is. On compact orbifolds, we show that any non-trivial twistor
spinor admits at most one zero which is singular unless the orbifold is
conformally equivalent to a round sphere. We show the sharpness of our results
through examples.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 13:54:01 GMT""},{""version"":""v2"",""created"":""Mon, 8 Nov 2004 11:57:21 GMT""},{""version"":""v3"",""created"":""Fri, 20 Oct 2006 10:52:18 GMT""}]","2007-05-23"
"math/0409137","Simon G. Chiossi","Simon G. Chiossi, Anna Fino","Conformally parallel G_2 structures on a class of solvmanifolds","22 pages","Math. Z. 252 (4), 825-848, (2006)",,,"math.DG hep-th",,"  Starting from a 6-dimensional nilpotent Lie group N endowed with an invariant
SU(3) structure, we construct a homogeneous conformally parallel G_2-metric on
an associated solvmanifold. We classify all half-flat SU(3) structures that
endow the rank-one solvable extension of N with a conformally parallel G_2
structure. By suitably deforming the SU(3) structures obtained, we are able to
describe the corresponding non-homogeneous Ricci-flat metrics with holonomy
contained in G_2. In the process we also find a new metric with exceptional
holonomy.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 15:37:13 GMT""}]","2012-06-19"
"nlin/0409015","Shengqi Zhou","Sheng-Qi Zhou and Guenter Ahlers","Fluctuations of a homeotropically aligned nematic liquid crystal in the
  presence of an applied voltage","4 pages, 5 figures",,,,"nlin.PS",,"  We determined the refractive-index structure-factor $S_n(\bf k)$ from
shadowgraphs of fluctuations in a layer of a homeotropically aligned nematic
liquid crystal with negative dielectric anisotropy in the presence of an ac
voltage of amplitude $V_0$ applied orthogonal to the layer. $S_n(\bf k)$ had
rotational symmetry. Its integral $P(V_0)$ and amplitude $B(V_0)$ increased
smoothly through the Fr\'eedericksz transition at $V_0 = V_F$. Its inverse
width $\xi(V_0)$ and its relaxation rate $\Gamma_0(V_0)$ had cusps but remained
finite at $V_F$. The results are inconsistent with the critical mode at a
second-order phase transition.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 23:19:24 GMT""},{""version"":""v2"",""created"":""Mon, 13 Sep 2004 22:16:18 GMT""}]","2007-05-23"
"nlin/0409016","Peter Schlagheck","Christopher Eltschka and Peter Schlagheck","Resonance- and chaos-assisted tunneling in mixed regular-chaotic systems","4 pages, 2 figures",,"10.1103/PhysRevLett.94.014101",,"nlin.CD",,"  We present evidence that nonlinear resonances govern the tunneling process
between symmetry-related islands of regular motion in mixed regular-chaotic
systems.In a similar way as for near-integrable tunneling, such resonances
induce couplings between regular states within the islands and states that are
supported by the chaotic sea. On the basis of this mechanism, we derive a
semiclassical expression for the average tunneling rate, which yields good
agreement in comparison with the exact quantum tunneling rates calculated for
the kicked rotor and the kicked Harper.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 09:01:07 GMT""}]","2009-11-10"
"nlin/0409017","Chazottes","J.-R. Chazottes, S. Galatolo","Multifractals via recurrence times ?","This is a very short and non-technical note written after an article
  published in Nature by T.C. Halsey and M.H. Jensen",,,,"nlin.CD",,"  This letter is a comment on an article by T.C. Halsey and M.H. Jensen in
Nature about using recurrence times as a reliable tool to estimate multifractal
dimensions of strange attractors. Our aim is to emphasize that in the recent
mathematical literature (not cited by these authors), there are positive as
well as negative results about the use of such techniques. Thus one may be
careful in using this tool in practical situations (experimental data).
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 14:12:07 GMT""}]","2007-05-23"
"nucl-ex/0409005","Douglas Higinbotham","M. M. Rvachev, et al. (The Jefferson Lab Hall A Collaboration)","The Quasielastic 3He(e,e'p)d Reaction at Q^2 = 1.5 GeV^2 for Recoil
  Momenta up to 1 GeV/c","5 pages, 3 figures, submitted to Physical Review Letters, v3: changed
  content","Phys.Rev.Lett.94:192302,2005","10.1103/PhysRevLett.94.192302","JLAB-PHY-04-30","nucl-ex",,"  We have studied the quasielastic 3He(e,e'p)d reaction in perpendicular
coplanar kinematics, with the energy and momentum transferred by the electron
fixed at 840 MeV and 1502 MeV/c, respectively. The 3He(e,e'p)d cross section
was measured for missing momenta up to 1000 MeV/c, while the A_TL asymmetry was
extracted for missing momenta up to 660 MeV/c. For missing momenta up to 150
MeV/c, the measured cross section is described well by calculations that use a
variational ground-state wave function of the 3He nucleus derived from a
potential that includes three-body forces. For missing momenta from 150 to 750
MeV/c, strong final-state interaction effects are observed. Near 1000 MeV/c,
the experimental cross section is more than an order of magnitude larger than
predicted by available theories. The A_TL asymmetry displays characteristic
features of broken factorization, and is described reasonably well by available
models.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 21:25:51 GMT""},{""version"":""v2"",""created"":""Thu, 9 Sep 2004 19:13:00 GMT""},{""version"":""v3"",""created"":""Thu, 20 Jan 2005 17:11:24 GMT""}]","2008-11-26"
